# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Athos, Μονή Ιβήρων, 382 (Lambros 4502)
# dc:coverage: ff. 947v-948
# dc:relation: Diktyon ID 23979
# dc:description: collazionato  in riproduzioni digitali; crocette decorative in inizio di ciascuno stoicheion, tit. Ἀρχὴ τοῦ ξ στοιχείου; lemma e interpretazione di seguito su un'unica colonna di scrittura  

ψάλλους : ψάλλους
ψακὰς καὶ ψεκάς : ψακάς καὶ ψεκάς
ψυψάλιον : ψυψάλιον
ψάλλειν : ψάλλειν
ψάλων : ψάλων
ψάλτηξ : ψάλπιγξ
ψαῦσαι : ψαῦσαι
ψαφορεῖν : ψαφορεῖν
ψαβῶς : ψαβῶς
ψαύει : ψαύει
ψευδήγορος : ψευδήγορος
ψελλίζειν : ψελλίζειν
ψέγει : ψέγει
ψυχωμαχῶ : ψυχωμαχεῖν
ψιλόν : ψιλόν
ψίξ : ψίξ
ψηφίζω : ψηφίζειν
ψῆφος : ψῆφος
ψεύστης : ψεύστης
